,fullName,country,politicalGroup,id,nationalPoliticalGroup
52,Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico
53,Isabel BENJUMEA BENJUMEA,Spain,Group of the European People's Party (Christian Democrats),197679,Partido Popular
54,Monika BEŇOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,SMER-Sociálna demokracia
55,Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands
56,Tom BERENDSEN,Netherlands,Group of the European People's Party (Christian Democrats),197778,Christen Democratisch Appèl
57,Lars Patrick BERG,Germany,European Conservatives and Reformists Group,197478,Bündnis Deutschland
58,Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands
59,Erik BERGKVIST,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197396,Arbetarepartiet- Socialdemokraterna
60,Sergio BERLATO,Italy,European Conservatives and Reformists Group,4746,Fratelli d'Italia
61,Alexander BERNHUBER,Austria,Group of the European People's Party (Christian Democrats),197648,Österreichische Volkspartei
62,Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197498,Nowa Lewica
63,Adam BIELAN,Poland,European Conservatives and Reformists Group,23788,Partia Republikańska
64,Stéphane BIJOUX,France,Renew Europe Group,197551,La République en marche
65,Izaskun BILBAO BARANDICA,Spain,Renew Europe Group,96922,Partido Nacionalista Vasco
66,Vladimír BILČÍK,Slovakia,Group of the European People's Party (Christian Democrats),197771,Slovakia – Demokrati
67,Dominique BILDE,France,Identity and Democracy Group,124771,Rassemblement national
68,Gabriele BISCHOFF,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands
69,Benoît BITEAU,France,Group of the Greens/European Free Alliance,197512,Europe Écologie
70,Malin BJÖRK,Sweden,The Left group in the European Parliament - GUE/NGL,124992,Vänsterpartiet
71,Vasile BLAGA,Romania,Group of the European People's Party (Christian Democrats),197637,Partidul Naţional Liberal
72,Hynek BLAŠKO,Czechia,Identity and Democracy Group,197564,Svoboda a přímá demokracie
73,Vilija BLINKEVIČIŪTĖ,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos socialdemokratų partija
74,Michael BLOSS,Germany,Group of the Greens/European Free Alliance,197449,Bündnis 90/Die Grünen
75,Andrea BOCSKOR,Hungary,Non-attached Members,124712,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
76,Damian BOESELAGER,Germany,Group of the Greens/European Free Alliance,197439,Volt
77,Ioan-Rareş BOGDAN,Romania,Group of the European People's Party (Christian Democrats),197636,Partidul Naţional Liberal
78,Franc BOGOVIČ,Slovenia,Group of the European People's Party (Christian Democrats),125004,Slovenska ljudska stranka
79,Anna BONFRISCO,Italy,Identity and Democracy Group,197788,Lega
80,Paolo BORCHIA,Italy,Identity and Democracy Group,101039,Lega
81,Biljana BORZAN,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112748,Socijaldemokratska partija Hrvatske
82,Marc BOTENGA,Belgium,The Left group in the European Parliament - GUE/NGL,187917,Parti du Travail de Belgique
83,Vlad-Marius BOTOŞ,Romania,Renew Europe Group,197668,Uniunea Salvați România
84,Geert BOURGEOIS,Belgium,European Conservatives and Reformists Group,197467,Nieuw-Vlaamse Alliantie
85,Gilles BOYER,France,Renew Europe Group,197577,Horizons
86,Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),226260,Christlich Demokratische Union Deutschlands
87,Patrick BREYER,Germany,Group of the Greens/European Free Alliance,197431,Piratenpartei Deutschland
88,Milan BRGLEZ,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197446,Socialni demokrati
89,Saskia BRICMONT,Belgium,Group of the Greens/European Free Alliance,197470,Ecologistes Confédérés pour l'Organisation de Luttes Originales
90,Joachim Stanisław BRUDZIŃSKI,Poland,European Conservatives and Reformists Group,197501,Prawo i Sprawiedliwość
