fullName,id,country,eu_group_1,eu_group_2,term,nation_group,start_period_1,gender
Marietta GIANNAKOU,1431,Greece,Group of the European People's Party (Christian,None,1989-1994,Nea Dimokratia ,07-1989,female
José María GIL-ROBLES GIL-DELGADO,1219,Spain,Group of the European People's Party (Christian,None,1989-1994,Partido Popular ,07-1989,male
Valéry GISCARD d'ESTAING,1030,France,Liberal and Democratic Reformist Group,Group of the European People's Party (Christian,1989-1994,Union pour la démocratie française ,07-1989,female
Ernest GLINNE,1475,Belgium,Socialist Group,None,1989-1994,Parti socialiste ,07-1989,male
Annemarie M.C. GOEDMAKERS,940,Netherlands,Socialist Group,Group of the Party of European Socialists,1989-1994,Partij van de Arbeid ,11-1989,female
Willi GÖRLACH,1221,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,male
Bruno GOLLNISCH,1164,France,Technical Group of the European Right,None,1989-1994,Front national ,07-1989,male
Fernando Manuel Santos GOMES,1375,Portugal,Socialist Group,None,1989-1994,Partido Socialista ,07-1989,male
Laura GONZÁLEZ ÁLVAREZ,1875,Spain,Non-attached Members,None,1989-1994,Izquierda Unida ,01-1993,female
Giovanni GORIA,1104,Italy,Group of the European People's Party (Christian,None,1989-1994,Democrazia cristiana ,07-1989,male
Friedrich-Wilhelm GRAEFE zu BARINGDORF,1040,Germany,The Green Group in the European Parliament,None,1989-1994,Bündnis 90/die Grünen ,07-1989,male
Pauline GREEN,1308,United Kingdom,Socialist Group,None,1989-1994,Labour Party ,07-1989,female
Maxime François GREMETZ,1176,France,Left Unity,None,1989-1994,Parti communiste français ,07-1989,male
Lissy GRÖNER,1061,Germany,Socialist Group,Group of the Party of European Socialists,1989-1994,Sozialdemokratische Partei Deutschlands ,07-1989,female
Johanna-Christina GRUND,999,Germany,Technical Group of the European Right,Non-attached Members,1989-1994,Die Republikaner ,07-1989,female
Maren GÜNTHER,1886,Germany,Group of the European People's Party (Christian,None,1989-1994,Christlich-Soziale Union in Bayern e.V. ,08-1993,female
Guy Jean GUERMEUR,1656,France,Group of the European Democratic Alliance,None,1989-1994,Rassemblement pour la République ,03-1993,male
