fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista,2019-2024,None,07-2019,male
Isabel SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197650,Partido Socialista,2019-2024,None,07-2019,female
Silvia SARDONE,Italy,Identity and Democracy Group,197578,Lega,2019-2024,None,07-2019,female
Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus,2019-2024,None,07-2019,male
Jacek SARYUSZ-WOLSKI,Poland,European Conservatives and Reformists Group,28297,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Europe Écologie,2019-2024,None,07-2019,male
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,2019-2024,None,07-2019,female
Ernő SCHALLER-BAROSS,Hungary,Non-attached Members,213330,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Österreichs,2019-2024,None,07-2019,male
Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,190517,DIE LINKE.,2019-2024,None,07-2019,male
Simone SCHMIEDTBAUER,Austria,Group of the European People's Party (Christian Democrats),197656,Österreichische Volkspartei,2019-2024,None,07-2019,female
Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Helmut SCHOLZ,Germany,The Left group in the European Parliament - GUE/NGL,96646,DIE LINKE.,2019-2024,None,07-2019,male
Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl,2019-2024,None,07-2019,female
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Stéphane SÉJOURNÉ,France,Renew Europe Group,197508,La République en marche,2019-2024,None,07-2019,male
Monica SEMEDO,Luxembourg,Renew Europe Group,197418,Indépendent,2019-2024,None,07-2019,female
Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,197423,Independent,2019-2024,None,07-2019,male
Günther SIDL,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197677,Sozialdemokratische Partei Österreichs,2019-2024,None,07-2019,male
Radosław SIKORSKI,Poland,Group of the European People's Party (Christian Democrats),197548,Platforma Obywatelska,2019-2024,None,07-2019,male
Pedro SILVA PEREIRA,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124747,Partido Socialista,2019-2024,None,07-2019,male
Michal ŠIMEČKA,Slovakia,Renew Europe Group,103746,Progresívne Slovensko,2019-2024,None,07-2019,male
Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Ivan Vilibor SINČIĆ,Croatia,Non-attached Members,197935,KLJUČ Hrvatske,2019-2024,None,07-2019,male
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,female
Sara SKYTTEDAL,Sweden,Group of the European People's Party (Christian Democrats),197390,Kristdemokraterna,2019-2024,None,07-2019,female
Andrey SLABAKOV,Bulgaria,European Conservatives and Reformists Group,197849,VMRO,2019-2024,None,07-2019,male
Massimiliano SMERIGLIO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197791,Partito Democratico,2019-2024,None,07-2019,male
Vincenzo SOFO,Italy,European Conservatives and Reformists Group,204334,Fratelli d'Italia,2019-2024,None,07-2019,male
